,SP500 Return
2022-06-30,-0.08391999993382682
2022-07-31,0.09111639173021002
2022-08-31,-0.04244012827299837
2022-09-30,-0.09339567201327437
2022-10-31,0.0798634138370089
2022-11-30,0.053752893352493114
2022-12-31,-0.05897147407473047
2023-01-31,0.0617528578346791
2023-02-28,-0.02611249393181858
2023-03-31,0.03505161257710898
2023-04-30,0.014642341662481018
2023-05-31,0.002482347368192972
2023-06-30,0.06472746490423464
2023-07-31,0.031138932355010862
2023-08-31,-0.017716390070854016
2023-09-30,-0.048719367465624885
2023-10-31,-0.02197968873798295
2023-11-30,0.0850732724625336
