Ticker,Market Cap
NXPI,55560818688
ORLY,55960342528
OXY,49714552832
ODFL,40312168448
OMC,16218712064
ON,32793344000
OKE,39753277440
ORCL,311220961280
OTIS,35810164736
PCAR,49890988032
PKG,14687631360
PANW,94091829248
PARA,11144119296
PH,56353427456
PAYX,44799991808
PAYC,10765238272
PYPL,63545573376
PNR,11142806528
PEP,227786801152
PFE,162503688192
PCG,44791214080
PM,141750550528
PSX,55135285248
PNW,8538869760
PXD,52039569408
PNC,56034627584
POOL,13697078272
PPG,33950482432
PPL,19209449472
PFG,17916661760
PG,342102573056
PGR,94284447744
PLD,110737924096
PRU,36414070784
PEG,31179505664
PTC,19867410432
PSA,48279003136
PHM,20763955200
QRVO,10121042944
PWR,28948035584
QCOM,147995607040
DGX,15281041408
RL,8516057088
RJF,22331381760
RTX,116930027520
O,38990544896
REG,11874876416
REGN,91530731520
RF,16220334080
RSG,50905116672
RMD,23956873216
RVTY,11232504832
RHI,8798815232
ROK,31939870720
ROL,20053694464
ROP,57320681472
ROST,44466843648
RCL,30868631552
SPGI,131592388608
CRM,242784075776
SBAC,26343845888
SLB,69708849152
STX,16858137600
SEE,4883381248
SRE,45550759936
NOW,143349858304
SHW,74184065024
SPG,49853919232
SWKS,16600130560
SJM,12666164224
SNA,14684451840
SEDG,4453998080
SO,77979328512
LUV,17329063936
SWK,14234927104
SBUX,109816594432
STT,22825959424
STLD,18311098368
STE,19809439744
SYK,109840072704
SYF,14603143168
SNPS,81489756160
SYY,37237784576
TMUS,180873461760
TROW,21998387200
TTWO,26414962688
TPR,7684606464
TRGP,19300802560
TGT,62412087296
TEL,41433059328
TDY,19416031232
TFX,10859073536
TER,14109203456
TSLA,775147814912
TXN,142615281664
TXT,14882659328
TMO,189233414144
TJX,101579677696
TSCO,22927736832
TT,53248335872
TDG,54424649728
TRV,41399603200
TRMB,11667219456
TFC,45784895488
TYL,16979001344
TSN,18252230656
USB,62949916672
UDR,12566253568
ULTA,23414413312
UNP,140067340288
UAL,13438775296
UPS,133156036608
URI,33555859456
UNH,508496019456
UHS,9380357120
VLO,41787199488
VTR,18799241216
VLTO,18579011584
VRSN,21744236544
VRSK,33770373120
VZ,160806830080
VRTX,90227703808
VFC,7054337536
VTRS,11792755712
VICI,31563509760
V,525121191936
VMC,28704555008
WAB,21212426240
WBA,20008271872
WMT,406149791744
WBD,27970398208
WM,69478686720
WAT,17273362432
WEC,26518620160
WFC,167418593280
WELL,48550301696
WST,25322233856
WDC,15518270464
WRK,10556263424
WY,22535133184
WHR,6110075392
WMB,43210080256
WTW,25057071104
GWW,39908376576
WYNN,9508924416
XEL,33611112448
XYL,25645877248
YUM,34853494784
ZBRA,12127542272
ZBH,24513470464
ZION,5767440384
ZTS,84752441344
